Date,Region,Product Category,Sales Amount (USD),Revenue (USD),Customer ID,Marketing Channel
2023-12-21,East,Furniture,9083,2828,4X4EO,Email
2023-10-05,West,Apparel,7426,3276,27KV9,Email
2023-11-11,East,Apparel,7386,6008,MBN3R,Email
2022-04-08,West,Apparel,5282,7951,75P9D,Direct Mail
2021-07-18,West,Furniture,2836,5406,GUX3P,Social Media
2020-09-16,South,Furniture,2007,7259,TWVH9,Social Media
2023-09-08,North,Electronics,1648,3624,OVQ0Q,Email
2021-04-12,North,Furniture,1917,7199,4BVVF,Direct Mail
2020-02-20,East,Furniture,7004,1435,41CR6,Email
2023-01-04,West,Furniture,2643,5544,4PJX3,Online Ads
2020-07-20,North,Furniture,4152,1640,KA6CS,Direct Mail
2021-05-23,West,Furniture,2887,3861,6MISH,Online Ads
2022-02-21,North,Toys,4589,8322,JQQGS,Social Media
2021-07-17,North,Apparel,7178,8033,BHWCE,Email
2020-09-15,East,Toys,5818,5061,7UTXO,Online Ads
2022-05-19,North,Apparel,5455,6626,GEZMI,Online Ads
2021-10-27,East,Furniture,9669,5360,6QTHS,Direct Mail
2023-02-02,North,Toys,8989,2651,WMLDP,Online Ads
2022-11-12,West,Furniture,4394,8962,FKMRT,Email
2023-04-09,South,Furniture,3964,7514,F0FB8,Email
2020-07-10,East,Electronics,4373,1088,B8A4W,Email
2021-11-24,South,Toys,2985,4188,ZYBZQ,Social Media
2021-01-24,South,Electronics,2420,4433,KTVVH,Direct Mail
2020-01-02,East,Furniture,5130,7853,M9GMD,Social Media
2023-03-27,East,Electronics,6713,7091,YVJ1F,Direct Mail
2023-09-10,North,Electronics,6615,7325,STJFG,Online Ads
2021-08-09,North,Electronics,2868,2006,9SF7L,Direct Mail
2021-10-12,North,Electronics,7844,5267,TX5Q8,Online Ads
2022-02-13,North,Electronics,1095,5348,1WLWN,Direct Mail
2020-09-18,South,Electronics,3377,3023,I115H,Email
2020-04-20,North,Electronics,7204,3586,1ZJXA,Email
2021-01-20,North,Toys,3520,6341,E2DMQ,Social Media
2022-11-11,West,Furniture,9553,2763,S3VYC,Direct Mail
2022-05-08,North,Furniture,1685,1797,OHR2W,Online Ads
2023-06-15,North,Electronics,9976,1434,N5JJF,Direct Mail
2023-10-01,East,Toys,5103,1743,8NUVD,Email
2021-03-17,West,Electronics,7225,1875,PZEVB,Social Media
2021-04-27,West,Toys,2769,8431,IQCI7,Direct Mail
2021-10-16,West,Furniture,5278,2770,Z7GK7,Social Media
2022-11-08,West,Electronics,9248,2576,C5FOA,Social Media
2020-12-26,East,Furniture,9136,5016,89V0M,Direct Mail
2020-11-17,West,Furniture,4369,5688,L0CL3,Email
2020-03-04,East,Apparel,4967,3717,JRA7F,Direct Mail
2022-07-07,North,Furniture,7470,3213,ONZDY,Online Ads
2021-07-22,North,Toys,3721,2669,D3UDE,Social Media
2020-07-14,North,Electronics,9780,7532,IT7GU,Online Ads
2021-02-02,South,Toys,1972,6436,XQ6M3,Direct Mail
2020-05-06,East,Furniture,9227,3916,VY1I7,Email
2020-07-14,East,Toys,6197,1339,VRURF,Email
2020-04-16,South,Furniture,1166,8790,7LY74,Online Ads
2023-11-02,West,Furniture,5997,4010,PPJ3K,Social Media
2023-12-05,North,Electronics,6755,1249,IP41O,Social Media
2020-09-10,West,Electronics,5752,7274,48B7V,Email
2020-04-05,West,Electronics,4205,6941,13WUE,Social Media
2020-07-08,South,Apparel,1250,2122,ECR3T,Direct Mail
2023-08-08,West,Furniture,7822,6417,PKBZM,Social Media
2023-04-18,South,Toys,4890,3397,R1L5R,Online Ads
2020-03-03,East,Apparel,3961,3245,NH00I,Social Media
2023-12-28,East,Apparel,1550,2140,I0JT9,Direct Mail
2022-08-23,North,Furniture,7089,2558,ATQGI,Direct Mail
2023-11-13,West,Apparel,2892,8236,FJGAS,Social Media
2021-09-26,East,Toys,5806,2218,6HUYO,Social Media
2021-01-27,North,Furniture,9604,6432,J1VPR,Email
2023-02-26,West,Apparel,9367,7589,X8ZRN,Direct Mail
2021-10-14,West,Apparel,5508,7659,BF374,Online Ads
2022-10-28,East,Furniture,4182,2982,7ZSDG,Social Media
2022-08-02,South,Furniture,1224,6285,1HIBN,Email
2020-05-25,West,Electronics,6954,4569,BC6AW,Direct Mail
2022-04-08,West,Furniture,8231,1135,3WJX3,Direct Mail
2021-03-09,West,Apparel,7591,4075,4DDVA,Direct Mail
2021-07-09,West,Electronics,7815,1176,OX9OT,Email
2022-02-14,East,Apparel,2806,2608,KOF83,Direct Mail
2023-07-15,East,Furniture,5354,2910,9L7Z2,Direct Mail
2023-05-15,East,Electronics,9042,1245,X5EYV,Direct Mail
2020-12-04,South,Apparel,7418,1035,LJ27J,Direct Mail
2022-04-12,South,Toys,8948,2416,HOWWZ,Online Ads
2020-05-24,North,Electronics,1873,6728,GJ0XB,Email
2020-06-12,South,Furniture,2649,8982,KL0QS,Online Ads
2021-05-09,East,Furniture,2356,1149,4ZN4T,Social Media
2021-02-07,West,Furniture,5333,887,B61V0,Email
2022-09-03,East,Furniture,2875,2490,0IDX4,Social Media
2021-05-05,West,Apparel,2856,1042,JBEGL,Email
2023-06-13,West,Electronics,2092,7602,AVZ0K,Online Ads
2020-03-25,North,Electronics,1574,5946,HVF1W,Email
2021-01-27,East,Apparel,1404,6944,AJ0KE,Online Ads
2021-05-02,East,Furniture,8458,1482,0LQEP,Online Ads
2020-02-02,West,Apparel,5297,8621,YED72,Email
2021-06-20,East,Toys,3879,4561,4NZZU,Email
2021-05-03,South,Electronics,2027,2042,74YFB,Social Media
2020-10-22,South,Apparel,1960,2418,NRFGU,Social Media
2021-01-18,North,Electronics,8851,4656,QQ9XJ,Social Media
2023-08-18,North,Toys,4450,5610,2U9LN,Email
2021-12-09,West,Toys,2125,7912,B477A,Social Media
2022-03-10,West,Apparel,2141,5085,IKNV5,Online Ads
2023-02-18,South,Furniture,8573,6101,6MY3K,Email
2020-12-13,West,Toys,2630,3984,EOB2P,Online Ads
2022-09-06,North,Electronics,7948,8705,THOK6,Email
2022-04-10,North,Apparel,1691,8973,2HB0M,Email
2021-02-17,East,Toys,6628,8288,Q30CO,Social Media
2020-07-18,West,Furniture,6615,8926,E06C9,Email
2023-12-24,South,Apparel,5342,3463,6UZSF,Direct Mail
2020-06-27,West,Electronics,6407,7085,J44W0,Social Media
2021-06-09,West,Furniture,4512,4729,2TI7P,Direct Mail
2021-07-09,North,Electronics,5403,7421,E9LYQ,Social Media
2020-05-28,West,Toys,9431,3094,6NLLI,Social Media
2023-06-16,East,Furniture,5549,1428,96R55,Direct Mail
2021-03-22,North,Toys,5293,3510,I0E5G,Direct Mail
2023-01-24,South,Electronics,3316,6624,RP7XC,Social Media
2020-07-21,West,Electronics,2268,1286,BE1DX,Social Media
2023-09-15,North,Furniture,5627,5551,ZWWKI,Email
2020-01-27,North,Apparel,5930,4067,V9CVD,Social Media
2021-12-21,East,Furniture,2928,3384,OOAT3,Email
2023-05-18,East,Toys,1005,2871,PHJFV,Online Ads
2022-07-15,East,Toys,6453,2700,E0ALK,Email
2022-05-13,South,Apparel,2987,3596,9DXIS,Email
2023-09-01,East,Furniture,8339,6185,98YSH,Social Media
2021-11-24,South,Apparel,4091,8259,U4AIX,Direct Mail
2022-08-17,North,Apparel,7952,4857,C98I4,Email
2021-02-22,North,Apparel,7838,3311,2B8HQ,Email
2021-02-03,North,Apparel,7512,1848,QH5YU,Direct Mail
2022-03-28,West,Electronics,7279,2338,2MKZD,Email
2020-06-01,South,Toys,5264,6838,UQEFJ,Social Media
2023-02-28,South,Furniture,6872,4741,D7VWI,Email
2021-02-07,West,Apparel,2854,5882,16G0Q,Social Media
2020-04-26,North,Toys,5440,1820,ZHGKN,Online Ads
2022-05-06,West,Furniture,6712,8844,FTUZQ,Direct Mail
2020-04-05,East,Furniture,9688,8915,G2MY3,Social Media
2023-08-09,North,Furniture,8116,8949,0PA5G,Social Media
2023-08-25,East,Apparel,5938,8812,TATM2,Email
2023-09-12,North,Toys,4186,4303,198OH,Online Ads
2020-03-17,South,Furniture,2259,7176,ZVUSS,Social Media
2021-02-12,North,Toys,9009,1828,40A8U,Social Media
2023-12-17,West,Toys,3579,4266,N57MZ,Email
2020-02-12,North,Furniture,8274,5469,G7XNS,Email
2020-12-17,South,Furniture,9379,8077,8FDAJ,Online Ads
2021-04-03,West,Electronics,2100,4911,HL13U,Social Media
2023-12-26,South,Toys,9211,2275,9TY9O,Online Ads
2021-11-13,South,Electronics,9727,2372,1XPQZ,Direct Mail
2023-08-24,West,Toys,1378,5542,F9VG1,Social Media
2022-09-24,West,Electronics,3858,2962,OH8MJ,Social Media
2021-01-11,East,Apparel,4229,954,6UVAM,Email
2021-06-09,South,Furniture,3249,8486,EW2NS,Online Ads
2021-03-18,East,Toys,5517,4525,OYPS0,Email
2022-06-21,East,Electronics,1688,5240,ZJMJR,Online Ads
2021-09-21,South,Apparel,3699,8122,0EI6G,Direct Mail
2023-08-01,East,Electronics,3099,7904,DL4CG,Email
2020-05-22,East,Toys,2331,980,Y6B8G,Online Ads
2021-12-06,East,Apparel,6432,8642,B24CK,Direct Mail
2023-09-28,North,Apparel,6187,3342,H3XUS,Direct Mail
2022-02-19,North,Electronics,4141,2050,W2OHN,Online Ads
2022-01-23,East,Electronics,7019,6037,OIXH3,Online Ads
2020-01-05,South,Toys,8625,4655,1IMR7,Direct Mail
2020-02-23,East,Electronics,3345,5023,RS5TK,Email
2020-08-16,West,Apparel,4596,8494,GYK8M,Social Media
2022-09-27,South,Toys,6201,3227,DG8NU,Online Ads
2021-01-02,West,Electronics,1563,1888,R23PY,Online Ads
2023-01-17,East,Electronics,8601,2282,T207E,Social Media
2021-02-17,East,Electronics,6352,8990,2MQN6,Online Ads
2023-09-18,North,Furniture,8908,1400,Z6BVF,Social Media
2020-06-10,West,Furniture,2401,6055,BTSUJ,Email
2020-11-07,West,Furniture,9724,4537,S1TRA,Direct Mail
2022-04-06,South,Electronics,9430,2833,CD3LF,Direct Mail
2021-03-28,West,Furniture,8542,6028,AMCLY,Online Ads
2023-08-02,East,Apparel,5190,6220,ON5UT,Online Ads
2021-03-27,East,Toys,7575,5619,Z7CZC,Email
2022-11-03,South,Electronics,3113,3280,F5NXL,Social Media
2021-04-04,North,Apparel,9548,2128,V5CI7,Online Ads
2023-07-17,East,Toys,6729,4844,Q13FV,Email
2020-01-15,East,Apparel,6039,1503,R8146,Social Media
2022-07-16,East,Toys,5840,7539,8F0VU,Email
2021-02-06,South,Furniture,1264,2590,IWHMJ,Email
2021-05-18,East,Furniture,7998,1269,TURSB,Direct Mail
2021-10-04,West,Electronics,5587,2667,SSECC,Social Media
2023-12-22,East,Furniture,7884,5985,CDRVE,Email
2021-08-20,East,Furniture,7680,5226,IX7QB,Email
2022-06-24,South,Electronics,6150,6033,POTFE,Direct Mail
2023-09-23,West,Apparel,1197,3424,72DE9,Social Media
2023-12-16,East,Toys,3568,4112,GYR3C,Email
2021-01-03,East,Apparel,5429,4507,QCTVL,Online Ads
2020-09-24,East,Electronics,9811,4411,K22MS,Online Ads
2023-07-18,East,Electronics,1775,1224,I8E2X,Online Ads
2022-07-19,North,Toys,7854,3506,0Q5G2,Direct Mail
2020-07-16,South,Toys,9535,2045,KHR5Y,Social Media
2022-11-20,West,Toys,8123,8679,MY2PQ,Online Ads
2022-04-09,South,Electronics,6072,2015,QDW3X,Online Ads
2023-11-14,West,Apparel,1507,7044,3TZFL,Online Ads
2022-06-16,North,Apparel,2329,3777,WOXES,Direct Mail
2021-07-17,West,Toys,6392,7015,3WS2B,Direct Mail
2021-11-16,East,Toys,6513,4998,UUBQ4,Social Media
2021-07-24,West,Apparel,4636,3626,DO5NZ,Online Ads
2021-02-20,East,Toys,7046,1086,YPI4O,Email
2023-02-20,West,Toys,5780,7261,ZD50F,Direct Mail
2022-09-02,West,Electronics,6608,831,C2C9I,Direct Mail
2022-06-21,North,Toys,6436,7599,4T81W,Social Media
2022-10-13,West,Toys,9970,2190,4QAK0,Social Media
2023-04-03,North,Furniture,9238,2952,N87SM,Direct Mail
2023-06-21,West,Electronics,1196,8757,QFZ2D,Social Media
2023-05-10,South,Apparel,7880,7429,BFPGB,Direct Mail
2022-11-16,South,Apparel,2941,5861,4HXQT,Direct Mail
2021-10-01,North,Furniture,4045,8230,R4MIW,Social Media
2022-06-24,East,Electronics,7269,6977,GDROX,Direct Mail
2020-08-19,East,Furniture,6438,7147,YNI73,Online Ads
2020-11-12,East,Furniture,9816,1675,GL6ZW,Direct Mail
2022-09-26,North,Apparel,7612,5068,DQNLO,Direct Mail
2022-09-15,West,Toys,7708,8585,VYOU4,Online Ads
2023-11-01,South,Furniture,2178,5460,LDMRQ,Online Ads
2023-10-06,West,Electronics,4501,7268,7PRHE,Online Ads
2021-07-23,North,Apparel,5662,4689,CEKH8,Social Media
2023-08-23,West,Electronics,6708,3154,TAB1Q,Online Ads
2020-12-05,East,Apparel,7317,5023,E3XRT,Email
2020-03-24,West,Toys,5742,6034,QDXJA,Email
2021-09-24,North,Toys,8510,2474,M2Z1U,Direct Mail
2023-02-24,West,Toys,5081,8294,0VRW1,Email
2020-11-04,South,Electronics,9590,8573,QDS9W,Direct Mail
2020-09-07,North,Furniture,1609,3141,H3AXQ,Email
2020-02-23,West,Furniture,9561,5547,JKW5R,Email
2021-08-06,East,Furniture,8795,4507,C7QGZ,Online Ads
2022-11-07,West,Toys,2986,3934,V5MLO,Email
2021-03-24,East,Electronics,5698,5522,3VETZ,Social Media
2022-06-25,East,Apparel,6975,8833,JK6YL,Direct Mail
2023-03-05,East,Apparel,3328,7371,BY7OI,Online Ads
2020-05-19,South,Electronics,5223,1454,ZD8DY,Online Ads
2021-10-28,West,Toys,4997,4004,YQG08,Email
2020-08-03,South,Toys,8381,3299,CKT9Y,Email
2020-06-02,South,Apparel,8439,5760,HG9NE,Direct Mail
2022-10-08,East,Toys,3862,3831,H14FF,Online Ads
2022-05-08,North,Electronics,3155,7510,0NKDO,Online Ads
2020-10-20,South,Electronics,8626,2163,DT7TO,Direct Mail
2023-12-25,South,Furniture,9406,1196,ELUDZ,Social Media
2020-03-12,West,Toys,1771,6703,ISZCS,Direct Mail
2021-11-09,South,Furniture,6070,6860,LIMV5,Social Media
2023-09-07,East,Toys,5283,5631,NN0ES,Direct Mail
2023-01-10,South,Electronics,9627,7691,549YI,Social Media
2023-09-02,South,Electronics,1312,5593,PHO4J,Email
2022-09-12,West,Electronics,1843,5239,OCVZF,Online Ads
2023-06-17,East,Apparel,9347,8953,ME06F,Social Media
2021-12-20,South,Apparel,2675,2656,P9GL5,Direct Mail
2020-03-18,West,Electronics,6422,7693,OGDNG,Direct Mail
2023-11-13,South,Electronics,8579,7111,DLJKN,Email
2021-09-27,East,Furniture,6544,8819,60DH2,Direct Mail
2021-02-16,South,Electronics,9383,2778,QR0RU,Email
2020-10-14,East,Furniture,6755,2931,PLIHY,Online Ads
2021-10-12,South,Electronics,9619,7224,SXVZE,Social Media
2020-10-26,South,Electronics,6780,5367,CAAHB,Social Media
2021-12-17,South,Furniture,2811,2924,N46N6,Online Ads
2022-08-17,North,Electronics,5532,7564,RPMJL,Direct Mail
2022-08-06,East,Toys,8532,1395,NCB3F,Direct Mail
2020-01-18,West,Toys,2485,2821,O90BQ,Email
2022-12-01,South,Electronics,6787,2834,TXDE5,Direct Mail
2022-08-15,North,Electronics,2348,4354,HF5SB,Social Media
2022-10-14,East,Toys,5563,3484,VTPGD,Online Ads
